"","indiv_ID","tree.id","leaf_num","seed_mass","area","thickness","lma","seed_num","site","island","species","indiv"
"275","AGL.1.ISA","1",8,1.5952,NA,NA,NA,NA," isang"," rota"," aglaia","AGL.1.ISA.a"
"276","PSY.1.GP","1",1,0.3505,50.82380845,0.212,0.00689637417362807,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"277","PSY.1.GP","1",2,0.1865,28.58174272,0.213,0.00652514445417274,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"278","PSY.1.GP","1",3,0.1652,27.06319178,0.226,0.00610423195249589,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"279","PSY.1.GP","1",4,0.4461,61.77224983,0.235,0.00722168937067514,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"280","PSY.1.GP","1",5,0.2489,37.66441721,0.221,0.00660835925356934,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"281","PSY.1.GP","1",6,0.2226,32.53478654,0.24,0.00684190749880359,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"282","PSY.1.GP","1",7,0.2026,28.08476395,0.223,0.00721387583533527,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"283","PSY.1.GP","1",8,0.392,52.15905241,0.218,0.00751547395682452,NA," gravel_pit"," rota"," psychotria","PSY.1.GP.a"
"284","PSY.3.PAL","3",1,0.1604,22.2505435707398,0.265,0.00720881265170219,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"285","PSY.3.PAL","3",2,0.1763,19.3409559282298,0.303,0.00911537158009214,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"286","PSY.3.PAL","3",3,0.355,43.4730577981131,0.287,0.00816597722774882,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"287","PSY.3.PAL","3",4,0.1609,18.2176362708211,0.298,0.00883210080649765,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"288","PSY.3.PAL","3",5,0.1489,19.8005615322078,0.277,0.00751998875172293,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"289","PSY.3.PAL","3",6,0.2907,39.2377436614925,0.254,0.00740868288727035,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"290","PSY.3.PAL","3",7,0.2564,28.3897922141763,0.27,0.00903141516731383,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"291","PSY.3.PAL","3",8,0.2209,27.2868919097767,0.253,0.00809546212629856,NA," palii"," rota"," psychotria","PSY.3.PAL.a"
"292","GUA.1.PAL","1",1,0.2363,NA,0.109,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"293","GUA.1.PAL","1",2,0.2096,NA,0.118,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"294","GUA.1.PAL","1",3,0.2103,NA,0.114,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"295","GUA.1.PAL","1",4,0.1738,NA,0.115,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"296","GUA.1.PAL","1",5,0.2302,NA,0.107,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"297","GUA.1.PAL","1",6,0.1945,NA,0.102,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"298","GUA.1.PAL","1",7,0.1726,NA,0.117,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"299","GUA.1.PAL","1",8,0.3121,NA,0.122,NA,NA," palii"," rota"," guamia","GUA.1.PAL.a"
"300","PSY.1.PAL","1",1,0.2768,41.42205582,0.223,0.00668243027827584,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"301","PSY.1.PAL","1",2,0.2601,38.62321307,0.231,0.00673429213485164,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"302","PSY.1.PAL","1",3,0.2843,43.53369639,0.22,0.00653057340808087,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"303","PSY.1.PAL","1",4,0.3433,49.82266848,0.233,0.00689043783629953,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"304","PSY.1.PAL","1",5,0.4115,58.27876106,0.218,0.00706089135244908,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"305","PSY.1.PAL","1",6,0.279,42.45677332,0.221,0.00657138963192411,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"306","PSY.1.PAL","1",7,0.1975,27.43124575,0.234,0.00719981884162151,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"307","PSY.1.PAL","1",8,0.3125,40.82437032,0.312,0.00765474145836133,NA," palii"," rota"," psychotria","PSY.1.PAL.a"
"308","CYN.3.LDT","3",1,0.4974,NA,0.188,NA,NA," ladt"," saipan"," cynometra","CYN.3.LDT.a"
"309","CYN.3.LDT","3",2,0.8212,NA,0.194,NA,NA," ladt"," saipan"," cynometra","CYN.3.LDT.a"
"310","CYN.3.LDT","3",3,0.6384,NA,0.188,NA,NA," ladt"," saipan"," cynometra","CYN.3.LDT.a"
