"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
"304",NA,NA,"304",1908,NA,NA,"Italy",NA,NA,37.41,15.12,37.41,15.12
NA,NA,NA,NA,1908,NA,NA,"Croatia",NA,NA,45.34,14.32,45.34,14.32
"450",800,"800","450",1909,1,26,"Italy","rifle-harpoon",NA,37.24,15.26,37.24,15.26
"350",350,"350","350",1909,6,NA,"Italy",NA,NA,44.34,8.55,44.34,8.55
NA,NA,NA,NA,1909,9,18,"Italy",NA,NA,43.58,10.28,43.58,10.28
NA,NA,NA,NA,1909,9,NA,"Italy",NA,NA,44.42,8.82,44.42,8.82
"550",NA,NA,"550",1909,10,NA,"Croatia","tuna trap",NA,45.28,14.56,45.28,14.56
NA,NA,NA,NA,1909,NA,NA,"Italy",NA,NA,38.2,15.57,38.2,15.56
NA,NA,NA,NA,1910,10,11,"France",NA,NA,43.53,4.13,43.53,4.13
NA,NA,NA,NA,1910,11,NA,"Italy",NA,NA,42.81,10.2,42.84,10.2
"471",1000,"1000","471",1912,12,NA,"Spain","tuna trap",NA,41.5,2.4,41.5,2.4
NA,NA,NA,NA,1912,NA,NA,"France",NA,NA,43.39,4.98,43.39,4.98
NA,NA,NA,NA,1912,NA,NA,"France",NA,NA,43.11,5.8,43.11,5.8
"650",2400,"2400","650",1913,NA,NA,"Italy","harpoon",NA,38.26,15.64,38.26,15.64
NA,NA,NA,NA,1914,9,NA,"Malta",NA,NA,35.82,14.45,35.82,14.45
"427.1",NA,NA,"Ca. 450 (475)",1914,NA,NA,"Italy",NA,NA,44.3,9.21,44.3,9.21
"700",NA,NA,"ca. 700",1916,NA,NA,"Turkey","fish trap",NA,40.96,29.08,40.96,29.08
"438",NA,NA,"438",1918,NA,NA,NA,NA,NA,42.69,15.8,42.69,15.8
"525",1300,"1300","525",1920,2,2,"Croatia",NA,NA,43.95,15.07,43.95,15.07
"465",1200,"ca. 1200","465",1920,5,NA,"Turkey","swordfish line",NA,40.85,29.15,40.85,29.15
"150",NA,NA,"150",1920,NA,NA,"Spain",NA,NA,35.29,-2.91,35.29,-2.91
"500",NA,NA,"ca. 500",1920,NA,NA,"Turkey",NA,NA,40.85,29.11,40.85,29.11
"500",NA,NA,"500",1921,NA,NA,"Italy",NA,NA,38.2,15.57,38.2,15.57
NA,NA,NA,NA,1923,NA,NA,"Turkey",NA,NA,40.66,28.11,40.66,28.11
"512.6",1200,"1200","507 or 600",1924,6,NA,"Italy","tuna trap",NA,40.76,14.03,40.76,14.01
NA,1200,"1200",NA,1924,5,NA,"Italy","harpoon",NA,38.29,15.75,38.28,15.76
"600",1500,"1500","600",1925,10,15,"France",NA,NA,43.36,5.31,43.36,5.31
"150",NA,NA,"150",1925,NA,NA,"Spain",NA,NA,35.29,-2.92,35.29,-2.92
"390",NA,NA,"Ca. 390 (est)",1925,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
"513",2000,"2000","513",1925,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.89,3.19
"700",NA,NA,"700",1925,NA,NA,"Spain","tuna trap",NA,39.7,3.02,39.48,3.31
"800",4500,"ca. 4500","ca. 800",1925,NA,NA,"Turkey",NA,NA,41,29,41,29
"400",NA,NA,"ca. 400",1925,NA,NA,"Turkey","hand line intended for tuna",NA,40.65,28.09,40.65,28.09
NA,NA,NA,NA,1925,NA,NA,"Morocco",NA,NA,35.18,-2.43,35.18,-2.43
NA,NA,NA,NA,1925,NA,NA,"Spain",NA,NA,41.08,1.21,41.08,1.21
"450",1499,"> 1500","450",1926,2,20,"Turkey",NA,NA,40.86,29.13,40.86,29.13
"500",700,"700","500",1926,3,NA,"Croatia",NA,NA,44.07,15.14,44.07,15.14
"300",NA,NA,"300",1926,6,NA,"Montenegro",NA,NA,42.45,18.53,42.45,18.53
"650",NA,NA,"600-700",1926,7,23,"Italy",NA,NA,44.36,8.58,44.27,8.45
"400",500,"500","400",1926,8,NA,"Croatia",NA,NA,42.93,17.17,42.93,17.17
"600",800,"800ca.","600",1926,9,NA,"Montenegro",NA,NA,42.43,18.76,42.43,18.76
"600",1800,"1800","600",1926,10,NA,"Croatia","tuna gillnet",NA,42.93,17.17,42.93,17.17
"500",2000,"2000","500 cm",1926,2,2,"Turkey",NA,NA,NA,NA,40.85,29.15
NA,NA,NA,NA,1926,NA,NA,"France",NA,NA,43.09,5.79,43.09,5.79
"600",500,"500","600",1926,NA,NA,"Croatia",NA,NA,42.93,17.17,42.93,17.17
"610",1900,"1900","610",1927,2,15,"Croatia",NA,NA,45.08,13.63,45.08,13.63
"700",NA,NA,"700",1927,9,3,"Spain","tuna trap",NA,39.7,3.02,39.47,2.69
NA,NA,NA,NA,1927,NA,NA,"Spain","trammel net",NA,39.26,3.06,39.25,3.13
NA,NA,NA,NA,1927,NA,NA,"Spain",NA,NA,40.46,0.47,40.46,0.47
NA,NA,NA,NA,1927,NA,NA,"Spain",NA,NA,41.49,2.36,41.49,2.36
"600",1000,"1000","Ca. 600",1927,NA,NA,"Croatia",NA,NA,45.08,13.63,45.08,13.63
"450",800,"800","450",1928,2,12,"Italy",NA,NA,43.64,13.53,43.64,13.53
NA,NA,NA,NA,1928,7,NA,"Italy",NA,NA,43.87,10.23,43.87,10.24
"150",NA,NA,"150",1928,NA,NA,"Spain",NA,NA,35.29,-2.91,35.29,-2.91
"414",NA,NA,"414",1929,NA,NA,"Italy",NA,NA,44.31,9.22,44.31,9.22
"500",800,"800","500",1930,10,18,"Italy",NA,NA,42.44,11.14,42.44,11.14
"450",NA,NA,"450",1930,NA,NA,"Italy",NA,NA,39.24,16.04,39.24,16.04
NA,1400,"1400",NA,1930,NA,NA,"Italy","tuna trap",NA,38.73,16.16,38.73,16.15
NA,NA,NA,NA,1930,NA,NA,"Turkey",NA,NA,40.99,29,40.99,29
NA,NA,NA,NA,1930,NA,NA,"Turkey",NA,NA,40.95,28.81,40.95,28.81
"150",NA,NA,"150",1931,NA,NA,"Croatia",NA,NA,43.52,15.97,43.52,15.97
NA,NA,NA,NA,1932,NA,NA,"Italy",NA,NA,40.14,11.35,40.14,11.35
NA,NA,NA,NA,1932,NA,NA,"Italy",NA,NA,39.99,11.34,39.99,11.34
NA,NA,NA,NA,1933,NA,NA,"Croatia",NA,NA,45.32,14.43,45.32,14.43
"600",NA,NA,"Ca. 600",1934,8,30,"Croatia",NA,NA,45.33,14.41,45.33,14.41
"600",NA,NA,"Ca. 600",1934,8,30,"Croatia",NA,NA,45.33,14.42,45.33,14.42
"600",NA,NA,"600",1934,8,30,"Croatia",NA,NA,45.33,14.4,45.28,14.53
NA,NA,NA,NA,1934,8,21,"Croatia",NA,NA,44.51,14.31,44.52,14.28
"400",NA,NA,"400",1934,8,27,"Italy",NA,NA,37.48,15.09,37.48,15.09
"700",1550,"1100 or >2000","700",1934,9,2,"Croatia",NA,NA,45.28,14.56,45.28,14.56
"601",NA,NA,">600",1934,9,7,"Croatia",NA,NA,44.82,14.35,44.82,14.35
"550",900,"1000 or 800","500 or 600",1934,9,7,"Croatia","tuna trap",NA,45.24,14.26,45.23,14.28
"800",NA,NA,"800",1934,NA,NA,"Italy","hook and line",NA,42.4,11.21,42.4,11.21
NA,NA,NA,NA,1934,NA,NA,"Italy",NA,NA,44.26,9.42,44.26,9.42
"425",2500,"2500","425",1934,NA,NA,"Egypt",NA,NA,31.11,29.75,31.11,29.75
"501",NA,NA,">500",1935,5,23,"Italy",NA,NA,38.25,15.62,38.25,15.62
NA,NA,NA,NA,1935,7,3,"Italy",NA,NA,44.26,9.42,44.26,9.42
"600",2500,"2500","600",1935,7,20,"Croatia","tuna gillnet",NA,44.86,14.89,44.85,14.88
"700",NA,NA,"700",1935,NA,NA,"Spain","tuna trap",NA,39.48,2.64,39.42,2.68
NA,NA,NA,NA,1935,NA,NA,"France",NA,NA,43.21,3.73,43.21,3.73
NA,NA,NA,NA,1935,NA,NA,"France",NA,NA,43.24,3.47,43.24,3.47
NA,800,"800",NA,1935,NA,NA,"Italy","longline",NA,42.38,11.12,42.37,11.11
"500",1600,"1600 (gutted)","500",1935,NA,NA,"France","driftnet",NA,43.49,4.11,43.35,4.05
"500",NA,NA,"ca. 500",1936,NA,NA,"Turkey",NA,NA,NA,NA,40.85,29.11
"150",50,"50","150 cm",1936,NA,NA,"Turkey",NA,NA,NA,NA,40.88,29.11
NA,1700,"1700",NA,1937,3,21,"Turkey","harpoon",NA,40.85,29.11,40.85,29.11
"490.5",1200,"1200","530",1937,8,23,"Italy","purse seine",NA,36.74,15.12,36.74,15.12
